rank,image_path,state,predicted_text,predicted_length,confidence,verified_text,notes
1,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/ALASKA/102.jpg,ALASKA,ZZC7000,7,0.9922,ZZC700,
2,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/ARKANSAS/082.jpg,ARKANSAS,LHB2566,7,0.9921,LHB256,
3,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/COLORADO/068.jpg,COLORADO,ANI7088,7,0.9922,ANI708,
4,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/DELAWARE/031.jpg,DELAWARE,FUN1234,7,0.9402,FUN1234,
5,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/FLORIDA/128.jpg,FLORIDA,PVB3633,7,0.9913,PVB363,
6,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/valid/INDIANA/4.jpg,INDIANA,SLS5923,7,0.9905,SLS5923,
7,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/IOWA/009.jpg,IOWA,CML9533,7,0.9895,CML953,
8,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/KENTUCKY/090.jpg,KENTUCKY,PJP9899,7,0.9875,PJP989,
9,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/LOUISIANA/033.jpg,LOUISIANA,OAD8885,7,0.993,OAD885,
10,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/MAINE/104.jpg,MAINE,AIO6811,7,0.9177,A106811,
11,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/MASSACHUSETTS/055.jpg,MASSACHUSETTS,HII6157,7,0.9541,H6157,
12,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/MINNESOTA/063.jpg,MINNESOTA,AHI9888,7,0.9913,AH988,
13,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/MISSOURI/119.jpg,MISSOURI,CMM7334,7,0.9914,CMM734,
14,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/NEBRASKA/046.jpg,NEBRASKA,RZZ8894,7,0.9899,RZZ894,
15,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/test/NEVADA/3.jpg,NEVADA,LTI5203,7,0.9912,LT15203,
16,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/NEW JERSEY/136.jpg,NEW JERSEY,PDN4333,7,0.9802,PDN433,
17,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/NEW MEXICO/098.jpg,NEW MEXICO,CAB8000,7,0.9719,CAB600,
18,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/NORTH DAKOTA/103.jpg,NORTH DAKOTA,JST8088,7,0.9921,JST808,
19,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/OKLAHOMA/084.jpg,OKLAHOMA,ZJJ3300,7,0.9913,ZJ3300,
20,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/test/OREGON/4.jpg,OREGON,EZA3210,7,0.9728,E243210,
21,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/RHODE ISLAND/084.jpg,RHODE ISLAND,MXX1177,7,0.9855,MX117,
22,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/SOUTH CAROLINA/012.jpg,SOUTH CAROLINA,RCH4000,7,0.9909,RCH400,
23,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/SOUTH DAKOTA/087.jpg,SOUTH DAKOTA,IGZ8900,7,0.9902,1GZ890,
24,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/UTAH/154.jpg,UTAH,ADB2237,7,0.9835,ADB231,
25,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/VERMONT/128.jpg,VERMONT,GXS4233,7,0.9819,GXS423,
26,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/ALABAMA/071.jpg,ALABAMA,VCM7000,7,0.9916,VCM700,
27,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/AMERICAN SAMOA/068.jpg,AMERICAN SAMOA,LAA0022,7,0.985,LA002,
28,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/test/CNMI/5.jpg,CNMI,ACN2633,7,0.9897,ACN263,
29,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/GUAM/047.jpg,GUAM,AHT4060,7,0.9936,AHT4060,
30,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/HAWAI/034.jpg,HAWAI,MSE8331,7,0.9914,MSE831,
31,/workspace/home/alpr-week5/data/raw/kaggle_us_plates/new plates/train/MISSIPPI/008.jpg,MISSIPPI,HNB7498,7,0.9886,HNB7498,
